step,train_loss,train_acc,dev_loss,dev_acc,step_time_ms,lr
0,0.6733462810516357,0.59375,,,69478.91044616699,3.169572107765452e-08
1,0.6553049683570862,0.59375,,,162.55617141723633,6.339144215530904e-08
2,0.7207171320915222,0.4375,,,160.96854209899902,9.508716323296357e-08
3,0.6279813051223755,0.6875,,,160.91322898864746,1.2678288431061808e-07
4,0.688636064529419,0.53125,,,160.8285903930664,1.584786053882726e-07
5,0.6122686862945557,0.71875,,,160.7799530029297,1.9017432646592713e-07
6,0.6950494050979614,0.5625,,,160.86745262145996,2.2187004754358165e-07
7,0.729165256023407,0.46875,,,160.83693504333496,2.5356576862123616e-07
8,0.7110615372657776,0.53125,,,160.77351570129395,2.8526148969889065e-07
9,0.7517076730728149,0.46875,,,160.75444221496582,3.169572107765452e-07
10,0.7350897192955017,0.5,,,160.80641746520996,3.4865293185419967e-07
11,0.7208492159843445,0.5,,,160.9177589416504,3.8034865293185427e-07
12,0.6408661603927612,0.625,,,160.86649894714355,4.1204437400950875e-07
13,0.6722815036773682,0.59375,,,160.8133316040039,4.437400950871633e-07
14,0.7136050462722778,0.5,,,160.8262062072754,4.754358161648178e-07
15,0.6488198041915894,0.625,,,160.73942184448242,5.071315372424723e-07
16,0.712544322013855,0.5,,,160.81690788269043,5.388272583201268e-07
17,0.723231315612793,0.46875,,,160.78925132751465,5.705229793977813e-07
18,0.7169387340545654,0.5,,,160.77351570129395,6.022187004754359e-07
19,0.748955488204956,0.46875,,,160.89177131652832,6.339144215530904e-07
20,0.6822715997695923,0.53125,,,161.1957550048828,6.656101426307449e-07
21,0.7316602468490601,0.40625,,,160.73036193847656,6.973058637083993e-07
22,0.6654607057571411,0.5625,,,160.85529327392578,7.290015847860539e-07
23,0.653600811958313,0.625,,,160.7832908630371,7.606973058637085e-07
24,0.6938821077346802,0.4375,,,160.9489917755127,7.923930269413629e-07
25,0.6442804336547852,0.65625,,,160.78782081604004,8.240887480190175e-07
26,0.6307266354560852,0.75,,,160.8407497406006,8.55784469096672e-07
27,0.7053987383842468,0.53125,,,160.74609756469727,8.874801901743266e-07
28,0.6833643913269043,0.53125,,,161.63349151611328,9.19175911251981e-07
29,0.7057557106018066,0.53125,,,160.83598136901855,9.508716323296356e-07
30,0.6897851228713989,0.5625,,,160.71701049804688,9.8256735340729e-07
31,0.6457914113998413,0.625,,,160.75825691223145,1.0142630744849446e-06
32,0.6688119769096375,0.625,,,160.88461875915527,1.0459587955625992e-06
33,0.6668336391448975,0.625,,,160.8426570892334,1.0776545166402536e-06
34,0.6517481803894043,0.71875,,,160.83335876464844,1.1093502377179082e-06
35,0.6583539843559265,0.65625,,,160.92443466186523,1.1410459587955626e-06
36,0.7038026452064514,0.53125,,,161.35263442993164,1.1727416798732172e-06
37,0.6498673558235168,0.625,,,160.9044075012207,1.2044374009508718e-06
38,0.6438194513320923,0.6875,,,161.1042022705078,1.2361331220285264e-06
39,0.6924725770950317,0.53125,,,160.89868545532227,1.2678288431061807e-06
40,0.6560842990875244,0.59375,,,160.77589988708496,1.2995245641838353e-06
41,0.7028438448905945,0.5,,,161.32020950317383,1.3312202852614897e-06
42,0.6940454244613647,0.625,,,160.79163551330566,1.3629160063391443e-06
43,0.6526474356651306,0.59375,,,160.77923774719238,1.3946117274167987e-06
44,0.7548077702522278,0.40625,,,160.8421802520752,1.4263074484944533e-06
45,0.7138645648956299,0.4375,,,160.8107089996338,1.4580031695721079e-06
46,0.6654566526412964,0.59375,,,161.10515594482422,1.4896988906497625e-06
47,0.7333719730377197,0.46875,,,160.8715057373047,1.521394611727417e-06
48,0.6635141372680664,0.59375,,,160.83359718322754,1.5530903328050717e-06
49,0.7623025178909302,0.4375,,,160.98713874816895,1.5847860538827258e-06
50,0.7261911630630493,0.40625,,,160.75372695922852,1.6164817749603804e-06
51,0.6917800903320312,0.5,,,161.2405776977539,1.648177496038035e-06
52,0.6384501457214355,0.6875,,,160.80665588378906,1.6798732171156896e-06
53,0.6396162509918213,0.65625,,,160.8269214630127,1.711568938193344e-06
54,0.7041085362434387,0.5625,,,160.7682704925537,1.7432646592709986e-06
55,0.6715999245643616,0.53125,,,161.54932975769043,1.7749603803486532e-06
56,0.7490981221199036,0.34375,,,161.1931324005127,1.8066561014263078e-06
57,0.6858145594596863,0.53125,,,160.86721420288086,1.838351822503962e-06
58,0.6806838512420654,0.5625,,,161.23104095458984,1.8700475435816165e-06
59,0.6832369565963745,0.59375,,,160.95662117004395,1.9017432646592711e-06
60,0.6966557502746582,0.59375,,,161.12518310546875,1.9334389857369257e-06
61,0.645297646522522,0.6875,,,160.90869903564453,1.96513470681458e-06
62,0.6668219566345215,0.625,,,160.91346740722656,1.9968304278922345e-06
63,0.6979091167449951,0.53125,,,161.17477416992188,2.0285261489698893e-06
64,0.6471951603889465,0.65625,,,160.7515811920166,2.0602218700475437e-06
65,0.6883552074432373,0.40625,,,160.76993942260742,2.0919175911251985e-06
66,0.6179145574569702,0.65625,,,160.7661247253418,2.123613312202853e-06
67,0.6105561256408691,0.6875,,,160.9179973602295,2.1553090332805072e-06
68,0.6755338907241821,0.46875,,,160.71462631225586,2.187004754358162e-06
69,0.6488940715789795,0.6875,,,160.86483001708984,2.2187004754358164e-06
70,0.5904913544654846,0.78125,,,161.20243072509766,2.250396196513471e-06
71,0.6602045297622681,0.6875,,,161.15880012512207,2.282091917591125e-06
72,0.6552658081054688,0.5625,,,161.16738319396973,2.31378763866878e-06
73,0.6599171757698059,0.6875,,,160.8283519744873,2.3454833597464344e-06
74,0.6852719783782959,0.5625,,,160.95447540283203,2.3771790808240887e-06
75,0.6365610361099243,0.625,,,160.88509559631348,2.4088748019017435e-06
76,0.6942815780639648,0.5,,,160.74085235595703,2.440570522979398e-06
77,0.6747347116470337,0.65625,,,161.0696315765381,2.4722662440570527e-06
78,0.6809431314468384,0.53125,,,161.28182411193848,2.5039619651347067e-06
79,0.6661837697029114,0.53125,,,161.20362281799316,2.5356576862123615e-06
80,0.7311512231826782,0.5,,,161.15355491638184,2.567353407290016e-06
81,0.6997329592704773,0.5,,,161.05103492736816,2.5990491283676707e-06
82,0.6689120531082153,0.53125,,,161.70573234558105,2.630744849445325e-06
83,0.6629851460456848,0.65625,,,160.8254909515381,2.6624405705229794e-06
84,0.6240861415863037,0.6875,,,160.75754165649414,2.6941362916006342e-06
85,0.6651301980018616,0.53125,,,160.8419418334961,2.7258320126782886e-06
86,0.7001463770866394,0.5,,,160.7680320739746,2.7575277337559434e-06
87,0.6698711514472961,0.59375,,,161.3020896911621,2.7892234548335974e-06
88,0.6326442956924438,0.59375,,,160.74705123901367,2.820919175911252e-06
89,0.6749480962753296,0.59375,,,161.16905212402344,2.8526148969889066e-06
90,0.6810619831085205,0.5625,,,161.1945629119873,2.8843106180665614e-06
91,0.6870826482772827,0.59375,,,160.8595848083496,2.9160063391442158e-06
92,0.6417207717895508,0.5625,,,161.102294921875,2.94770206022187e-06
93,0.7131406664848328,0.46875,,,161.18597984313965,2.979397781299525e-06
94,0.6305510997772217,0.6875,,,161.42702102661133,3.0110935023771793e-06
95,0.6622345447540283,0.5625,,,160.8102321624756,3.042789223454834e-06
96,0.6391216516494751,0.59375,,,161.09561920166016,3.074484944532488e-06
97,0.6684364080429077,0.53125,,,160.75992584228516,3.1061806656101433e-06
98,0.6733946204185486,0.5625,,,161.31973266601562,3.1378763866877973e-06
99,0.6171627640724182,0.65625,,,160.9823703765869,3.1695721077654516e-06
100,0.6379073262214661,0.5625,,,161.18788719177246,3.2012678288431065e-06
101,0.6364916563034058,0.65625,,,161.17024421691895,3.232963549920761e-06
102,0.6929397583007812,0.40625,,,160.74252128601074,3.2646592709984156e-06
103,0.5857970118522644,0.78125,,,161.22198104858398,3.29635499207607e-06
104,0.6085811853408813,0.6875,,,160.74824333190918,3.328050713153725e-06
105,0.6466317176818848,0.625,,,160.7508659362793,3.359746434231379e-06
