step,train_loss,train_acc,dev_loss,dev_acc,step_time_ms,lr
0,0.6733462810516357,0.59375,,,1733.6697578430176,3.169572107765452e-08
1,0.6553049683570862,0.59375,,,176.85556411743164,6.339144215530904e-08
2,0.7207170724868774,0.4375,,,175.16732215881348,9.508716323296357e-08
3,0.6279813051223755,0.6875,,,175.7071018218994,1.2678288431061808e-07
4,0.688636064529419,0.53125,,,174.82566833496094,1.584786053882726e-07
5,0.6122686862945557,0.71875,,,174.54242706298828,1.9017432646592713e-07
6,0.6950494647026062,0.5625,,,174.29018020629883,2.2187004754358165e-07
7,0.729165256023407,0.46875,,,175.97270011901855,2.5356576862123616e-07
8,0.7110615372657776,0.53125,,,176.34177207946777,2.8526148969889065e-07
9,0.7517076730728149,0.46875,,,175.61054229736328,3.169572107765452e-07
10,0.7350897192955017,0.5,,,175.92144012451172,3.4865293185419967e-07
11,0.7208492159843445,0.5,,,176.00107192993164,3.8034865293185427e-07
12,0.6408661603927612,0.625,,,176.21278762817383,4.1204437400950875e-07
13,0.6722814440727234,0.59375,,,176.76758766174316,4.437400950871633e-07
14,0.7136050462722778,0.5,,,174.4081974029541,4.754358161648178e-07
15,0.6488198041915894,0.625,,,174.05939102172852,5.071315372424723e-07
16,0.712544322013855,0.5,,,174.52359199523926,5.388272583201268e-07
17,0.7232312560081482,0.46875,,,175.89259147644043,5.705229793977813e-07
18,0.7169386148452759,0.5,,,175.4438877105713,6.022187004754359e-07
19,0.748955488204956,0.46875,,,175.5349636077881,6.339144215530904e-07
20,0.6822715997695923,0.53125,,,174.99041557312012,6.656101426307449e-07
21,0.7316602468490601,0.40625,,,173.92206192016602,6.973058637083993e-07
22,0.6654607057571411,0.5625,,,174.6962070465088,7.290015847860539e-07
23,0.653600811958313,0.625,,,174.81422424316406,7.606973058637085e-07
24,0.6938821077346802,0.4375,,,175.9965419769287,7.923930269413629e-07
25,0.6442804336547852,0.65625,,,173.89631271362305,8.240887480190175e-07
26,0.6307265758514404,0.75,,,174.8192310333252,8.55784469096672e-07
27,0.705398678779602,0.53125,,,174.12710189819336,8.874801901743266e-07
28,0.6833643317222595,0.53125,,,173.94089698791504,9.19175911251981e-07
29,0.7057557106018066,0.53125,,,174.5743751525879,9.508716323296356e-07
30,0.6897851228713989,0.5625,,,174.01409149169922,9.8256735340729e-07
31,0.6457912921905518,0.625,,,175.33135414123535,1.0142630744849446e-06
32,0.6688120365142822,0.625,,,175.2490997314453,1.0459587955625992e-06
33,0.6668336391448975,0.625,,,174.21746253967285,1.0776545166402536e-06
34,0.6517481207847595,0.71875,,,174.75032806396484,1.1093502377179082e-06
35,0.6583539843559265,0.65625,,,174.8344898223877,1.1410459587955626e-06
36,0.7038027048110962,0.53125,,,174.90386962890625,1.1727416798732172e-06
37,0.6498673558235168,0.625,,,174.61037635803223,1.2044374009508718e-06
38,0.6438194513320923,0.6875,,,175.48465728759766,1.2361331220285264e-06
39,0.6924725770950317,0.53125,,,177.49547958374023,1.2678288431061807e-06
40,0.6560841798782349,0.59375,,,176.18322372436523,1.2995245641838353e-06
41,0.7028437852859497,0.5,,,174.64876174926758,1.3312202852614897e-06
42,0.6940454244613647,0.625,,,175.30179023742676,1.3629160063391443e-06
43,0.6526474356651306,0.59375,,,176.29599571228027,1.3946117274167987e-06
44,0.7548077702522278,0.40625,,,175.74620246887207,1.4263074484944533e-06
45,0.7138645648956299,0.4375,,,174.24321174621582,1.4580031695721079e-06
46,0.6654566526412964,0.59375,,,175.35400390625,1.4896988906497625e-06
47,0.7333719730377197,0.46875,,,175.16088485717773,1.521394611727417e-06
48,0.6635141372680664,0.59375,,,174.1781234741211,1.5530903328050717e-06
49,0.7623025178909302,0.4375,,,175.34995079040527,1.5847860538827258e-06
50,0.7261911034584045,0.40625,,,174.96275901794434,1.6164817749603804e-06
51,0.6917800903320312,0.5,,,174.96275901794434,1.648177496038035e-06
52,0.6384502053260803,0.6875,,,174.56960678100586,1.6798732171156896e-06
53,0.6396161913871765,0.65625,,,177.0000457763672,1.711568938193344e-06
54,0.7041085958480835,0.5625,,,176.49054527282715,1.7432646592709986e-06
55,0.6715999245643616,0.53125,,,174.70979690551758,1.7749603803486532e-06
56,0.7490981221199036,0.34375,,,174.44920539855957,1.8066561014263078e-06
57,0.6858144998550415,0.53125,,,174.79228973388672,1.838351822503962e-06
58,0.6806838512420654,0.5625,,,175.45461654663086,1.8700475435816165e-06
59,0.6832369565963745,0.59375,,,175.2188205718994,1.9017432646592711e-06
60,0.696655809879303,0.59375,,,175.72402954101562,1.9334389857369257e-06
61,0.645297646522522,0.6875,,,174.6659278869629,1.96513470681458e-06
62,0.6668219566345215,0.625,,,174.4980812072754,1.9968304278922345e-06
63,0.6979090571403503,0.53125,,,176.57971382141113,2.0285261489698893e-06
64,0.6471951603889465,0.65625,,,173.97117614746094,2.0602218700475437e-06
65,0.6883551478385925,0.40625,,,175.0786304473877,2.0919175911251985e-06
66,0.6179145574569702,0.65625,,,175.06980895996094,2.123613312202853e-06
67,0.6105561852455139,0.6875,,,173.94089698791504,2.1553090332805072e-06
68,0.6755338907241821,0.46875,,,175.9343147277832,2.187004754358162e-06
69,0.648894190788269,0.6875,,,175.34780502319336,2.2187004754358164e-06
70,0.5904912948608398,0.78125,,,174.67498779296875,2.250396196513471e-06
71,0.6602045297622681,0.6875,,,175.0028133392334,2.282091917591125e-06
72,0.655265748500824,0.5625,,,175.8115291595459,2.31378763866878e-06
73,0.6599171757698059,0.6875,,,173.91419410705566,2.3454833597464344e-06
74,0.6852719783782959,0.5625,,,175.78458786010742,2.3771790808240887e-06
75,0.6365610361099243,0.625,,,174.87287521362305,2.4088748019017435e-06
76,0.6942815184593201,0.5,,,175.2772331237793,2.440570522979398e-06
77,0.6747347116470337,0.65625,,,175.05526542663574,2.4722662440570527e-06
78,0.6809431314468384,0.53125,,,176.82743072509766,2.5039619651347067e-06
79,0.6661836504936218,0.53125,,,175.6136417388916,2.5356576862123615e-06
80,0.7311512231826782,0.5,,,175.9970188140869,2.567353407290016e-06
81,0.6997330188751221,0.5,,,175.8711338043213,2.5990491283676707e-06
82,0.6689120531082153,0.53125,,,174.35050010681152,2.630744849445325e-06
83,0.6629851460456848,0.65625,,,175.94051361083984,2.6624405705229794e-06
84,0.6240861415863037,0.6875,,,175.31704902648926,2.6941362916006342e-06
85,0.6651301383972168,0.53125,,,175.22621154785156,2.7258320126782886e-06
86,0.7001463174819946,0.5,,,176.40995979309082,2.7575277337559434e-06
87,0.6698712110519409,0.59375,,,174.9427318572998,2.7892234548335974e-06
88,0.6326442360877991,0.59375,,,175.76050758361816,2.820919175911252e-06
89,0.6749480962753296,0.59375,,,177.3064136505127,2.8526148969889066e-06
90,0.6810619831085205,0.5625,,,174.53980445861816,2.8843106180665614e-06
91,0.6870827078819275,0.59375,,,175.97723007202148,2.9160063391442158e-06
92,0.6417207717895508,0.5625,,,175.4317283630371,2.94770206022187e-06
93,0.7131406664848328,0.46875,,,175.5201816558838,2.979397781299525e-06
94,0.6305511593818665,0.6875,,,175.55665969848633,3.0110935023771793e-06
95,0.6622345447540283,0.5625,,,174.84331130981445,3.042789223454834e-06
96,0.6391216516494751,0.59375,,,176.2673854827881,3.074484944532488e-06
97,0.6684362888336182,0.53125,,,174.61824417114258,3.1061806656101433e-06
98,0.6733945608139038,0.5625,,,175.7676601409912,3.1378763866877973e-06
99,0.6171627640724182,0.65625,,,176.31053924560547,3.1695721077654516e-06
100,0.6379072666168213,0.5625,,,175.49371719360352,3.2012678288431065e-06
